"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"平台数据接口","48","test_get_platform_data","testcases","2026-05-19","passed","2026-05-19","TestHomePage","test_home_page","",""
"首页统计POST（type=1）","72","test_home_page_statistics_type_1","testcases","2026-05-19","passed","2026-05-19","TestHomePage","test_home_page","",""
"首页统计POST（type=0）","121","test_home_page_statistics_type_0","testcases","2026-05-19","passed","2026-05-19","TestHomePage","test_home_page","",""
"测试使用空用户名登录

测试场景:用户名为空,密码正确
预期结果:登录失败,返回相应的错误提示
","36","test_login_empty_username","testcases","2026-05-19","passed","2026-05-19","TestAuthLogin","test_auth_login","",""
"订单统计（按时间范围）","38","test_order_statistics_by_range","testcases","2026-05-19","passed","2026-05-19","TestHomePage","test_home_page","",""
"测试使用空密码登录

测试场景:用户名正确,密码为空
预期结果:登录失败,返回相应的错误提示
","36","test_login_empty_password","testcases","2026-05-19","passed","2026-05-19","TestAuthLogin","test_auth_login","",""
"订单产品数量统计","63","test_order_product_count_statistics","testcases","2026-05-19","passed","2026-05-19","TestHomePage","test_home_page","",""
"测试缺少必填参数登录

测试场景:只提供用户名,缺少密码参数
预期结果:登录失败,返回相应的错误提示
","36","test_login_missing_params","testcases","2026-05-19","passed","2026-05-19","TestAuthLogin","test_auth_login","",""
"首页统计接口","171","test_home_statistics","testcases","2026-05-19","passed","2026-05-19","TestHomePage","test_home_page","",""
"测试使用错误密码登录

测试场景:用户名正确,但密码错误
预期结果:登录失败,返回相应的错误提示
","31","test_login_wrong_password","testcases","2026-05-19","passed","2026-05-19","TestAuthLogin","test_auth_login","",""
"最近销售统计（7天）","49","test_recent_sales","testcases","2026-05-19","passed","2026-05-19","TestHomePage","test_home_page","",""
"列表统计接口（GET方法）","56","test_get_list_statistics","testcases","2026-05-19","passed","2026-05-19","TestHomePage","test_home_page","",""
"测试使用正确凭证登录

测试场景:使用正确的用户名和密码登录系统
预期结果:登录成功,返回200状态码
","213","test_login_success","testcases","2026-05-19","passed","2026-05-19","TestAuthLogin","test_auth_login","",""
